pokemon_name,pokedex_number,pokemon_id,classification,pokemon_height,pokemon_weight,primary_type,secondary_type,pre_evo_id,evo_details,primary_ability,primary_ability_desc,secondary_ability,secondary_ability_desc,hidden_ability,hidden_ability_desc,health_stat,attack_stat,defense_stat,special_attack_stat,special_defense_stat,speed_stat,base_stat_total
Gigalith,526,860,Compressed Pokémon,1.7,260,Rock,,859,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Sand Stream,The Pokémon summons a sandstorm when it enters a battle.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",85,135,130,60,80,25,515
Woobat,527,861,Bat Pokémon,0.4,2.1,Psychic,Flying,,,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.",Klutz,The Pokémon can't use any held items.,Simple,The stat changes the Pokémon receives are doubled.,65,45,43,55,43,72,323
Swoobat,528,862,Courting Pokémon,0.9,10.5,Psychic,Flying,861,,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.",Klutz,The Pokémon can't use any held items.,Simple,The stat changes the Pokémon receives are doubled.,67,57,55,77,55,114,425
Drilbur,529,863,Mole Pokémon,0.3,8.5,Ground,,,,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",Mold Breaker,Moves can be used on the target regardless of its Abilities.,60,85,40,30,45,68,328
Excadrill,530,864,Subterrene Pokémon,0.7,40.4,Ground,Steel,863,Level 31,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",Mold Breaker,Moves can be used on the target regardless of its Abilities.,110,135,60,50,65,88,508
Audino,531,865,Hearing Pokémon,1.1,31,Normal,,,,Healer,Sometimes heals an ally's status condition.,Regenerator,Restores a little HP when withdrawn from battle.,Klutz,The Pokémon can't use any held items.,103,60,86,60,86,50,445
Timburr,532,866,Muscular Pokémon,0.6,12.5,Fighting,,,,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,Iron Fist,Powers up punching moves.,75,80,55,25,35,35,305
Gurdurr,533,867,Muscular Pokémon,1.2,40,Fighting,,866,Level 25,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,Iron Fist,Powers up punching moves.,85,105,85,40,50,40,405
Conkeldurr,534,868,Muscular Pokémon,1.4,87,Fighting,,867,,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,Iron Fist,Powers up punching moves.,105,140,95,55,65,45,505
Tympole,535,869,Tadpole Pokémon,0.5,4.5,Water,,,,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Hydration,Heals status conditions if it's raining.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,50,50,40,50,40,64,294
Palpitoad,536,870,Vibration Pokémon,0.8,17,Water,Ground,869,Level 25,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Hydration,Heals status conditions if it's raining.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,75,65,55,65,55,69,384
Seismitoad,537,871,Vibration Pokémon,1.5,62,Water,Ground,870,Level 36,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Poison Touch,May poison a target when the Pokémon makes contact.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,105,95,75,85,75,74,509
Throh,538,872,Judo Pokémon,1.3,55.5,Fighting,,,,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",Mold Breaker,Moves can be used on the target regardless of its Abilities.,120,100,85,30,85,45,465
Sawk,539,873,Karate Pokémon,1.4,41,Fighting,,,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",Mold Breaker,Moves can be used on the target regardless of its Abilities.,75,125,75,30,75,85,465
Sewaddle,540,874,Sewing Pokémon,0.3,2.5,Bug,Grass,,,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Overcoat,"Protects the Pokémon from things like sand, hail, and powder.",45,53,70,40,60,42,310
Swadloon,541,875,Leaf-Wrapped Pokémon,0.5,7.3,Bug,Grass,874,Level 20,Leaf Guard,Prevents status conditions in harsh sunlight.,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Overcoat,"Protects the Pokémon from things like sand, hail, and powder.",55,63,90,50,80,42,380
Leavanny,542,876,Nurturing Pokémon,1.2,20.5,Bug,Grass,875,,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Overcoat,"Protects the Pokémon from things like sand, hail, and powder.",75,103,80,70,80,92,500
Venipede,543,877,Centipede Pokémon,0.4,5.3,Bug,Poison,,,Poison Point,Contact with the Pokémon may poison the attacker.,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Speed Boost,Its Speed stat is boosted every turn.,30,45,59,30,39,57,260
Whirlipede,544,878,Curlipede Pokémon,1.2,58.5,Bug,Poison,877,Level 22,Poison Point,Contact with the Pokémon may poison the attacker.,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Speed Boost,Its Speed stat is boosted every turn.,40,55,99,40,79,47,360
Scolipede,545,879,Megapede Pokémon,2.5,200.5,Bug,Poison,878,Level 30,Poison Point,Contact with the Pokémon may poison the attacker.,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Speed Boost,Its Speed stat is boosted every turn.,60,100,89,55,69,112,485
Cottonee,546,880,Cotton Puff Pokémon,0.3,0.6,Grass,Fairy,,,Prankster,Gives priority to a status move.,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,40,27,60,37,50,66,280
Whimsicott,547,881,Windveiled Pokémon,0.7,6.6,Grass,Fairy,880,Sun Stone,Prankster,Gives priority to a status move.,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,60,67,85,77,75,116,480
Petilil,548,882,Bulb Pokémon,0.5,6.6,Grass,,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",Leaf Guard,Prevents status conditions in harsh sunlight.,45,35,50,70,50,30,280
Lilligant,549,883,Flowering Pokémon,1.1,16.3,Grass,,882,Sun Stone,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",Leaf Guard,Prevents status conditions in harsh sunlight.,70,60,75,110,75,90,480
Golduck,55,884,Duck Pokémon,1.7,76.6,Water,,102,Level 33,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Cloud Nine,Eliminates the effects of weather.,Swift Swim,Boosts the Pokémon's Speed stat in rain.,80,82,78,95,80,85,500
Basculin,550,885,Hostile Pokémon,1,18,Water,,,,Reckless,Powers up moves that have recoil damage.,Adaptability,Powers up moves of the same type as the Pokémon.,Mold Breaker,Moves can be used on the target regardless of its Abilities.,70,92,65,80,55,98,460
Sandile,551,886,Desert Croc Pokémon,0.7,15.2,Ground,Dark,,,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Moxie,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.",Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",50,72,35,35,35,65,292
Krokorok,552,887,Desert Croc Pokémon,1,33.4,Ground,Dark,886,Level 29,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Moxie,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.",Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",60,82,45,45,45,74,351
Krookodile,553,888,Intimidation Pokémon,1.5,96.3,Ground,Dark,887,Level 40,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Moxie,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.",Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",95,117,80,65,70,92,519
Darumaka,554,889,Zen Charm Pokémon,0.6,37.5,Fire,,,,Hustle,"Boosts the Attack stat, but lowers accuracy.",,,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",70,90,45,15,45,50,315
Darmanitan,555,890,Blazing Pokémon,1.3,92.9,Fire,,889,Level 35,Sheer Force,Removes additional effects to increase the power of moves when attacking.,,,Zen Mode,Changes the Pokémon's shape when HP is half or less.,105,140,55,30,55,95,480
Maractus,556,891,Cactus Pokémon,1,28,Grass,,,,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Storm Drain,"Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.",75,86,67,106,67,60,461
Dwebble,557,892,Rock Inn Pokémon,0.3,14.5,Bug,Rock,,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Shell Armor,A hard shell protects the Pokémon from critical hits.,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,50,65,85,35,35,55,325
Crustle,558,893,Stone Home Pokémon,1.4,200,Bug,Rock,892,Level 34,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Shell Armor,A hard shell protects the Pokémon from critical hits.,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,70,105,125,65,75,45,485
Scraggy,559,894,Shedding Pokémon,0.6,11.8,Dark,Fighting,,,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Moxie,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.",Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",50,75,70,35,70,48,348
Mankey,56,895,Pig Monkey Pokémon,0.5,28,Fighting,,,,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",Defiant,Boosts the Pokémon's Attack stat sharply when its stats are lowered.,40,80,35,35,45,70,305
Scrafty,560,914,Hoodlum Pokémon,1.1,30,Dark,Fighting,894,Level 39,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Moxie,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.",Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",65,90,115,45,115,58,488
Sigilyph,561,915,Avianoid Pokémon,1.4,14,Psychic,Flying,,,Wonder Skin,Makes status moves more likely to miss.,Magic Guard,The Pokémon only takes damage from attacks.,Tinted Lens,The Pokémon can use not very effective moves to deal regular damage.,72,58,80,103,80,97,490
Yamask,562,916,Spirit Pokémon,0.5,1.5,Ghost,,,,Mummy,Contact with the Pokémon changes the attacker's Ability to Mummy.,,,,,38,30,85,55,65,30,303
Cofagrigus,563,917,Coffin Pokémon,1.7,76.5,Ghost,,916,Level 34,Mummy,Contact with the Pokémon changes the attacker's Ability to Mummy.,,,,,58,50,145,95,105,30,483
Tirtouga,564,918,Prototurtle Pokémon,0.7,16.5,Water,Rock,,,Solid Rock,Reduces the power of supereffective attacks taken.,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Swift Swim,Boosts the Pokémon's Speed stat in rain.,54,78,103,53,45,22,355
Carracosta,565,919,Prototurtle Pokémon,1.2,81,Water,Rock,918,Level 37,Solid Rock,Reduces the power of supereffective attacks taken.,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Swift Swim,Boosts the Pokémon's Speed stat in rain.,74,108,133,83,65,32,495
Archen,566,920,First Bird Pokémon,0.5,9.5,Rock,Flying,,,Defeatist,Halves the Pokémon's Attack and Sp. Atk stats when its HP becomes half or less.,,,,,55,112,45,74,45,70,401
Archeops,567,921,First Bird Pokémon,1.4,32,Rock,Flying,920,Level 37,Defeatist,Halves the Pokémon's Attack and Sp. Atk stats when its HP becomes half or less.,,,,,75,140,65,112,65,110,567
Trubbish,568,922,Trash Bag Pokémon,0.6,31,Poison,,,,Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch.",Sticky Hold,Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.,Aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit.,50,50,62,40,62,65,329
Garbodor,569,923,Trash Heap Pokémon,1.9,107.3,Poison,,922,Level 36,Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch.",Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,Aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit.,80,95,82,60,82,75,474
Primeape,57,924,Pig Monkey Pokémon,1,32,Fighting,,895,Level 28,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",Defiant,Boosts the Pokémon's Attack stat sharply when its stats are lowered.,65,105,60,60,70,95,455
Zorua,570,939,Tricky Fox Pokémon,0.7,12.5,Dark,,,,Illusion,Comes out disguised as the Pokémon in the party's last spot.,,,,,40,65,40,80,40,65,330
Zoroark,571,940,Illusion Fox Pokémon,1.6,81.1,Dark,,939,Level 30,Illusion,Comes out disguised as the Pokémon in the party's last spot.,,,,,60,105,60,120,60,105,510
Minccino,572,941,Chinchilla Pokémon,0.4,5.8,Normal,,,,Cute Charm,Contact with the Pokémon may cause infatuation.,Technician,Powers up the Pokémon's weaker moves.,Skill Link,Maximizes the number of times multistrike moves hit.,55,50,40,40,40,75,300
Cinccino,573,942,Scarf Pokémon,0.5,7.5,Normal,,941,Shiny Stone,Cute Charm,Contact with the Pokémon may cause infatuation.,Technician,Powers up the Pokémon's weaker moves.,Skill Link,Maximizes the number of times multistrike moves hit.,75,95,60,65,60,115,470
Gothita,574,943,Fixation Pokémon,0.4,5.8,Psychic,,,,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Shadow Tag,This Pokémon steps on the opposing Pokémon's shadow to prevent it from escaping.,45,30,50,55,65,45,290
Gothorita,575,944,Manipulate Pokémon,0.7,18,Psychic,,943,Level 32,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Shadow Tag,This Pokémon steps on the opposing Pokémon's shadow to prevent it from escaping.,60,45,70,75,85,55,390
Gothitelle,576,945,Astral Body Pokémon,1.5,44,Psychic,,944,Level 41,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Shadow Tag,This Pokémon steps on the opposing Pokémon's shadow to prevent it from escaping.,70,55,95,95,110,65,490
Solosis,577,946,Cell Pokémon,0.3,1,Psychic,,,,Overcoat,"Protects the Pokémon from things like sand, hail, and powder.",Magic Guard,The Pokémon only takes damage from attacks.,Regenerator,Restores a little HP when withdrawn from battle.,45,30,40,105,50,20,290
Duosion,578,947,Mitosis Pokémon,0.6,8,Psychic,,946,Level 32,Overcoat,"Protects the Pokémon from things like sand, hail, and powder.",Magic Guard,The Pokémon only takes damage from attacks.,Regenerator,Restores a little HP when withdrawn from battle.,65,40,50,125,60,30,370
Reuniclus,579,948,Multiplying Pokémon,1,20.1,Psychic,,947,Level 41,Overcoat,"Protects the Pokémon from things like sand, hail, and powder.",Magic Guard,The Pokémon only takes damage from attacks.,Regenerator,Restores a little HP when withdrawn from battle.,110,65,75,125,85,30,490
Growlithe,58,949,Puppy Pokémon,0.7,19,Fire,,,,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice.",55,70,45,70,50,60,350
Ducklett,580,950,Water Bird Pokémon,0.5,5.5,Water,Flying,,,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,Hydration,Heals status conditions if it's raining.,62,44,50,44,50,55,305
Swanna,581,951,White Bird Pokémon,1.3,24.2,Water,Flying,950,Level 35,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,Hydration,Heals status conditions if it's raining.,75,87,63,87,63,98,473
Vanillite,582,952,Fresh Snow Pokémon,0.4,5.7,Ice,,,,Ice Body,The Pokémon gradually regains HP in a hailstorm.,Snow Cloak,Boosts evasiveness in a hailstorm.,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,36,50,50,65,60,44,305
Vanillish,583,953,Icy Snow Pokémon,1.1,41,Ice,,952,Level 35,Ice Body,The Pokémon gradually regains HP in a hailstorm.,Snow Cloak,Boosts evasiveness in a hailstorm.,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,51,65,65,80,75,59,395
Vanilluxe,584,954,Snowstorm Pokémon,1.3,57.5,Ice,,953,Level 47,Ice Body,The Pokémon gradually regains HP in a hailstorm.,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,71,95,85,110,95,79,535
Deerling,585,955,Season Pokémon,0.6,19.5,Normal,Grass,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,60,60,50,40,50,75,335
Sawsbuck,586,956,Season Pokémon,1.9,92.5,Normal,Grass,955,Level 34,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,80,100,70,60,70,95,475
Emolga,587,957,Sky Squirrel Pokémon,0.4,5,Electric,Flying,,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Motor Drive,Boosts its Speed stat if hit by an Electric-type move instead of taking damage.,55,75,60,75,60,103,428
Karrablast,588,958,Clamping Pokémon,0.5,5.9,Bug,,,,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,50,75,45,40,45,60,315
Escavalier,589,959,Cavalry Pokémon,1,33,Bug,Steel,958,With Shelmet,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Shell Armor,A hard shell protects the Pokémon from critical hits.,Overcoat,"Protects the Pokémon from things like sand, hail, and powder.",70,135,105,60,105,20,495
Arcanine,59,960,Legendary Pokémon,1.9,155,Fire,,949,Fire Stone,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice.",90,110,80,100,80,95,555
Foongus,590,961,Mushroom Pokémon,0.2,1,Grass,Poison,,,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",,,Regenerator,Restores a little HP when withdrawn from battle.,69,55,45,55,55,15,294
Amoonguss,591,962,Mushroom Pokémon,0.6,10.5,Grass,Poison,961,Level 39,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",,,Regenerator,Restores a little HP when withdrawn from battle.,114,85,70,85,80,30,464
Frillish,592,963,Floating Pokémon,1.2,33,Water,Ghost,,,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Cursed Body,May disable a move used on the Pokémon.,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",55,40,50,65,85,40,335
Jellicent,593,964,Floating Pokémon,2.2,135,Water,Ghost,963,Level 40,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Cursed Body,May disable a move used on the Pokémon.,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",100,60,70,85,105,60,480
Alomomola,594,965,Caring Pokémon,1.2,31.6,Water,,,,Healer,Sometimes heals an ally's status condition.,Hydration,Heals status conditions if it's raining.,Regenerator,Restores a little HP when withdrawn from battle.,165,75,80,40,45,65,470
Joltik,595,966,Attaching Pokémon,0.1,0.6,Bug,Electric,,,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,50,47,50,57,50,65,319
Galvantula,596,967,EleSpider Pokémon,0.8,14.3,Bug,Electric,966,Level 36,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,70,77,60,97,60,108,472
Ferroseed,597,968,Thorn Seed Pokémon,0.6,18.8,Grass,Steel,,,Iron Barbs,Inflicts damage on the attacker upon contact with iron barbs.,,,,,44,50,91,24,86,10,305
Ferrothorn,598,969,Thorn Pod Pokémon,1,110,Grass,Steel,968,Level 40,Iron Barbs,Inflicts damage on the attacker upon contact with iron barbs.,,,Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.,74,94,131,54,116,20,489
Klink,599,970,Gear Pokémon,0.3,21,Steel,,,,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Clear Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,40,55,70,45,60,30,300
Poliwag,60,971,Tadpole Pokémon,0.6,12.4,Water,,,,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Swift Swim,Boosts the Pokémon's Speed stat in rain.,40,50,40,40,40,90,300
Klang,600,972,Gear Pokémon,0.6,51,Steel,,970,Level 38,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Clear Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,60,80,95,70,85,50,440
Klinklang,601,973,Gear Pokémon,0.6,81,Steel,,972,Level 49,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Clear Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,60,100,115,70,85,90,520
Tynamo,602,974,EleFish Pokémon,0.2,0.3,Electric,,,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,35,55,40,45,40,60,275
Eelektrik,603,975,EleFish Pokémon,1.2,22,Electric,,974,Level 39,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,65,85,70,75,70,40,405
Eelektross,604,976,EleFish Pokémon,2.1,80.5,Electric,,975,Thunder Stone,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,85,115,80,105,80,50,515
Elgyem,605,977,Cerebral Pokémon,0.5,9,Psychic,,,,Telepathy,Anticipates an ally's attack and dodges it.,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Analytic,Boosts move power when the Pokémon moves last.,55,55,55,85,55,30,335
Beheeyem,606,978,Cerebral Pokémon,1,34.5,Psychic,,977,Level 42,Telepathy,Anticipates an ally's attack and dodges it.,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Analytic,Boosts move power when the Pokémon moves last.,75,75,75,125,95,40,485
Litwick,607,979,Candle Pokémon,0.3,3.1,Ghost,Fire,,,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,Flame Body,Contact with the Pokémon may burn the attacker.,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",50,30,55,65,55,20,275
Lampent,608,980,Lamp Pokémon,0.6,13,Ghost,Fire,979,Level 41,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,Flame Body,Contact with the Pokémon may burn the attacker.,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",60,40,60,95,60,55,370
Chandelure,609,981,Luring Pokémon,1,34.3,Ghost,Fire,980,Dusk Stone,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,Flame Body,Contact with the Pokémon may burn the attacker.,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",60,55,90,145,90,80,520
Poliwhirl,61,982,Tadpole Pokémon,1,20,Water,,971,Level 25,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Swift Swim,Boosts the Pokémon's Speed stat in rain.,65,65,65,50,50,90,385
Axew,610,983,Tusk Pokémon,0.6,18,Dragon,,,,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Mold Breaker,Moves can be used on the target regardless of its Abilities.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,46,87,60,30,40,57,320
Fraxure,611,984,Axe Jaw Pokémon,1,36,Dragon,,983,Level 38,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Mold Breaker,Moves can be used on the target regardless of its Abilities.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,66,117,70,40,50,67,410
Haxorus,612,985,Axe Jaw Pokémon,1.8,105.5,Dragon,,984,Level 48,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Mold Breaker,Moves can be used on the target regardless of its Abilities.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,76,147,90,60,70,97,540
Cubchoo,613,986,Chill Pokémon,0.5,8.5,Ice,,,,Snow Cloak,Boosts evasiveness in a hailstorm.,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",55,70,40,60,40,40,305
Beartic,614,987,Freezing Pokémon,2.6,260,Ice,,986,Level 37,Snow Cloak,Boosts evasiveness in a hailstorm.,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,Swift Swim,Boosts the Pokémon's Speed stat in rain.,95,130,80,70,80,50,505
Cryogonal,615,988,Crystallizing Pokémon,1.1,148,Ice,,,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,80,50,50,95,135,105,515
Shelmet,616,989,Snail Pokémon,0.4,7.7,Bug,,,,Hydration,Heals status conditions if it's raining.,Shell Armor,A hard shell protects the Pokémon from critical hits.,Overcoat,"Protects the Pokémon from things like sand, hail, and powder.",50,40,85,40,65,25,305
